individual,subset,chain,Group,Cell Number,Cell Number Estimated,UMIorCell_code,Read count,UMI count,clonetype,Read/Cell(UMI),UMI/Cell(UMI),Clonetype/Cell(UMI)
Y3,CD8EM,TRB,Young,150000,,cell,5976119.0,444818,22164,39.84079333333333,2.9654533333333335,0.14776
O13,CD4EM,TRA,Aged,100000,,umi,1440496.0,48186,12051,29.89449217615075,1.0,0.250093388121031
O13,CD4EM,TRB,Aged,100000,,cell,1255057.0,104867,15984,12.55057,1.04867,0.15984
Y-Tx5,CD4EM,TRA,Thymectomized,100000,,cell,11426576.0,146950,36396,114.26576,1.4695,0.36396
Y-Tx5,CD4EM,TRB,Thymectomized,100000,,cell,9482755.0,336159,42557,94.82755,3.36159,0.42557
O13,CD4CM,TRA,Aged,100000,,umi,2123237.0,56721,23385,37.43299659738016,1.0,0.41228116570582324
O13,CD4CM,TRB,Aged,100000,,cell,1615211.0,124250,32894,16.15211,1.2425,0.32894
Y-Tx5,CD4NCD31,TRA,Thymectomized,93602,True,umi,3728938.0,61046,36691,61.084067752186876,1.0,0.6010385610850834
Y-Tx5,CD4NCD31,TRB,Thymectomized,99772,True,cell,3859984.0,172237,61917,38.68804875115263,1.7263059776289942,0.620584933648719
Y-Tx2,CD4NCD31,TRA,Thymectomized,84361,True,umi,7234188.0,77898,41218,92.86744203959023,1.0,0.529127833833988
Y-Tx2,CD4NCD31,TRB,Thymectomized,89771,True,cell,7457650.0,254928,71850,83.07415535083713,2.839758942197369,0.8003698299005246
Y-Tx4,CD4NCD31-,TRA,Thymectomized,79346,True,cell,9116119.0,108937,52065,114.89071912887859,1.3729362538754317,0.6561767448894714
Y-Tx4,CD4NCD31-,TRB,Thymectomized,84714,True,cell,5772243.0,238128,67392,68.13800552447057,2.810963949288193,0.7955237623061123
Y6,CD8N,TRA,Young,99061,True,cell,7757934.0,122655,60330,78.31471517549792,1.2381764771201582,0.6090186854564359
Y6,CD8N,TRB,Young,99929,True,cell,5595329.0,279549,84940,55.99304506199402,2.7974762081077564,0.8500035024867656
Y6,CD4NCD31,TRA,Young,93722,True,umi,6517608.0,53980,34605,120.74116339384958,1.0,0.6410707669507225
Y6,CD4NCD31,TRB,Young,99713,True,cell,6241426.0,159882,63639,62.593904505932024,1.6034218206251942,0.63822169626829
Y-Tx5,CD4NCD31-,TRA,Thymectomized,93482,True,umi,10974230.0,87917,48067,124.82489165917855,1.0,0.5467315763731702
Y-Tx5,CD4NCD31-,TRB,Thymectomized,99712,True,cell,11281498.0,242087,72570,113.14082557766368,2.4278622432605905,0.727796052631579
Y-Tx2,CD4EM,TRA,Thymectomized,97000,,cell,9723018.0,101679,30505,100.23729896907217,1.0482371134020618,0.31448453608247423
Y-Tx2,CD4EM,TRB,Thymectomized,97000,,cell,8060241.0,264072,41432,83.09526804123712,2.7223917525773196,0.4271340206185567
Y7,CD4CM,TRA,Young,100000,,umi,7981246.0,43938,25663,181.6479129682735,1.0,0.5840730119714143
Y7,CD4CM,TRB,Young,100000,,cell,6138046.0,105636,41755,61.38046,1.05636,0.41755
Y-Tx9,CD4CM,TRA,Thymectomized,100000,,cell,7017335.0,146015,53997,70.17335,1.46015,0.53997
Y-Tx9,CD4CM,TRB,Thymectomized,100000,,cell,4970862.0,288089,64695,49.70862,2.88089,0.64695
Y7,CD4EM,TRA,Young,100000,,cell,5531503.0,102883,20736,55.31503,1.02883,0.20736
Y7,CD4EM,TRB,Young,100000,,cell,3299163.0,188685,26081,32.99163,1.88685,0.26081
O9,CD4EM,TRA,Aged,100000,,cell,4431122.0,107726,9286,44.31122,1.07726,0.09286
O9,CD4EM,TRB,Aged,100000,,cell,3994525.0,283338,11535,39.94525,2.83338,0.11535
Y4,CD4EM,TRA,Young,150000,,umi,4321071.0,108240,31549,39.92120288248337,1.0,0.29147265336289724
Y4,CD4EM,TRB,Young,150000,,cell,3335681.0,234910,46778,22.237873333333333,1.5660666666666667,0.3118533333333333
Y-Tx10,CD4EM,TRA,Thymectomized,100000,,cell,5382357.0,117871,23733,53.82357,1.17871,0.23733
Y-Tx10,CD4EM,TRB,Thymectomized,100000,,cell,3370062.0,208292,27063,33.70062,2.08292,0.27063
Y-Tx6,CD4EM,TRA,Thymectomized,100000,,cell,5866543.0,112259,25911,58.66543,1.12259,0.25911
Y-Tx6,CD4EM,TRB,Thymectomized,100000,,cell,3913106.0,212395,30798,39.13106,2.12395,0.30798
Y-Tx9,CD4NCD31-,TRA,Thymectomized,110822,True,cell,3872358.0,116646,58320,34.94214145205826,1.0525527422352963,0.5262493006803703
Y-Tx9,CD4NCD31-,TRB,Thymectomized,119566,True,cell,2991494.0,259742,83473,25.019604235317733,2.1723734171921785,0.6981332485823729
O5,CD8EM,TRA,Aged,150000,,cell,6849489.0,241648,10088,45.66326,1.6109866666666666,0.06725333333333333
O5,CD8EM,TRB,Aged,150000,,cell,5113672.0,477172,10032,34.09114666666667,3.181146666666667,0.06688
Y4,CD4CM,TRA,Young,150000,,cell,4502663.0,181388,72165,30.017753333333335,1.2092533333333333,0.4811
Y4,CD4CM,TRB,Young,150000,,cell,4015870.0,426973,102459,26.772466666666666,2.846486666666667,0.68306
O13,CD8EM,TRA,Aged,100000,,umi,1480120.0,41393,3880,35.75773681540357,1.0,0.0937356557872104
